title;url;date_time
The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life;https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html;2020-12-11 09:06:27.060557
The Art Forger;https://books.toscrape.com/catalogue/the-art-forger_930/index.html;2020-12-11 09:06:27.060557
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind;https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html;2020-12-11 09:06:27.060557
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution;https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html;2020-12-11 09:06:27.060557
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up;https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html;2020-12-11 09:06:27.060557
Soul Reader;https://books.toscrape.com/catalogue/soul-reader_926/index.html;2020-12-11 09:06:27.060557
Security;https://books.toscrape.com/catalogue/security_925/index.html;2020-12-11 09:06:27.060557
Saga, Volume 6 (Saga (Collected Editions) #6);https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html;2020-12-11 09:06:27.060557
Saga, Volume 5 (Saga (Collected Editions) #5);https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html;2020-12-11 09:06:27.060557
Reskilling America: Learning to Labor in the Twenty-First Century;https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html;2020-12-11 09:06:27.060557
Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15);https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html;2020-12-11 09:06:27.060557
Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1);https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html;2020-12-11 09:06:27.060557
Princess Between Worlds (Wide-Awake Princess #5);https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html;2020-12-11 09:06:27.060557
Pop Gun War, Volume 1: Gift;https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html;2020-12-11 09:06:27.060557
Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics;https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html;2020-12-11 09:06:27.060557
Patience;https://books.toscrape.com/catalogue/patience_916/index.html;2020-12-11 09:06:27.060557
Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1);https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html;2020-12-11 09:06:27.060557
orange: The Complete Collection 1 (orange: The Complete Collection #1);https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html;2020-12-11 09:06:27.060557
Online Marketing for Busy Authors: A Step-By-Step Guide;https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html;2020-12-11 09:06:27.060557
On a Midnight Clear;https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html;2020-12-11 09:06:27.060557
Obsidian (Lux #1);https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html;2020-12-11 09:06:27.060557
My Paris Kitchen: Recipes and Stories;https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html;2020-12-11 09:06:27.060557
Masks and Shadows;https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html;2020-12-11 09:06:27.060557
Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed;https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html;2020-12-11 09:06:27.060557
Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8);https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html;2020-12-11 09:06:27.060557
Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4);https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html;2020-12-11 09:06:27.060557
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12);https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html;2020-12-11 09:06:27.060557
Layered: Baking, Building, and Styling Spectacular Cakes;https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html;2020-12-11 09:06:27.060557
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners);https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html;2020-12-11 09:06:27.060557
Join;https://books.toscrape.com/catalogue/join_902/index.html;2020-12-11 09:06:27.060557
In the Country We Love: My Family Divided;https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html;2020-12-11 09:06:27.060557
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine;https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html;2020-12-11 09:06:27.060557
I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5);https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html;2020-12-11 09:06:27.060557
I am a Hero Omnibus Volume 1;https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html;2020-12-11 09:06:27.060557
How to Be Miserable: 40 Strategies You Already Use;https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html;2020-12-11 09:06:27.060557
Her Backup Boyfriend (The Sorensen Family #1);https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html;2020-12-11 09:06:27.060557
Giant Days, Vol. 2 (Giant Days #5-8);https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html;2020-12-11 09:06:27.060557
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton;https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html;2020-12-11 09:06:27.060557
First and First (Five Boroughs #3);https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html;2020-12-11 09:06:27.060557
Fifty Shades Darker (Fifty Shades #2);https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html;2020-12-11 09:06:27.060557
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day;https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html;2020-12-11 09:06:27.060557
Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master;https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html;2020-12-11 09:06:27.060557
Danganronpa Volume 1;https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html;2020-12-11 09:06:27.060557
Crown of Midnight (Throne of Glass #2);https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html;2020-12-11 09:06:27.060557
Codename Baboushka, Volume 1: The Conclave of Death;https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html;2020-12-11 09:06:27.060557
Camp Midnight;https://books.toscrape.com/catalogue/camp-midnight_886/index.html;2020-12-11 09:06:27.060557
